sample_id,center_id,batch
TCGA-DK-A3IS,DK,9
TCGA-DK-A3IQ,DK,9
TCGA-K4-A83P,K4,22
TCGA-ZF-AA4U,ZF,32
TCGA-ZF-AA4V,ZF,32
TCGA-DK-AA6X,DK,9
TCGA-XF-AAMW,XF,29
TCGA-XF-A8HI,XF,29
TCGA-4Z-AA81,4Z,2
TCGA-FD-A5BR,FD,12
TCGA-FD-A62S,FD,12
TCGA-GV-A3JW,GV,19
TCGA-2F-A9KW,2F,1
TCGA-BT-A20X,BT,5
TCGA-DK-A6B1,DK,9
TCGA-BT-A20P,BT,5
TCGA-4Z-AA84,4Z,2
TCGA-XF-A9SJ,XF,29
TCGA-GU-A42R,GU,18
TCGA-ZF-A9RE,ZF,32
TCGA-FD-A3N5,FD,12
TCGA-CF-A5UA,CF,7
TCGA-SY-A9G0,SY,27
TCGA-UY-A9PF,UY,28
TCGA-UY-A8OD,UY,28
TCGA-HQ-A5NE,HQ,21
TCGA-DK-AA6Q,DK,9
TCGA-DK-A3IK,DK,9
TCGA-DK-AA6P,DK,9
TCGA-FJ-A3ZE,FJ,13
TCGA-BT-A20V,BT,5
TCGA-GU-A766,GU,18
TCGA-XF-A9SV,XF,29
TCGA-CF-A27C,CF,7
TCGA-HQ-A5ND,HQ,21
TCGA-BT-A3PH,BT,5
TCGA-XF-A8HH,XF,29
TCGA-GC-A6I3,GC,16
TCGA-XF-AAN2,XF,29
TCGA-UY-A9PA,UY,28
TCGA-4Z-AA7Q,4Z,2
TCGA-XF-AAN8,XF,29
TCGA-XF-A9SW,XF,29
TCGA-XF-AAN1,XF,29
TCGA-DK-A2I1,DK,9
TCGA-ZF-AA5P,ZF,32
TCGA-E5-A4TZ,E5,10
TCGA-E7-A8O8,E7,11
TCGA-CU-A3KJ,CU,8
TCGA-C4-A0F0,C4,6
TCGA-XF-A8HF,XF,29
TCGA-GU-A42Q,GU,18
TCGA-ZF-A9R7,ZF,32
TCGA-ZF-AA52,ZF,32
TCGA-H4-A2HO,H4,20
TCGA-XF-A9SL,XF,29
TCGA-XF-A8HC,XF,29
TCGA-CF-A8HY,CF,7
TCGA-S5-AA26,S5,26
TCGA-C4-A0F7,C4,6
